frame,x_0,y_0,z_0,x_1,y_1,z_1,x_2,y_2,z_2,x_3,y_3,z_3,x_4,y_4,z_4,x_5,y_5,z_5,x_6,y_6,z_6,x_7,y_7,z_7,x_8,y_8,z_8,x_9,y_9,z_9,x_10,y_10,z_10,x_11,y_11,z_11,x_12,y_12,z_12,x_13,y_13,z_13,x_14,y_14,z_14,x_15,y_15,z_15,x_16,y_16,z_16,x_17,y_17,z_17,x_18,y_18,z_18,x_19,y_19,z_19,x_20,y_20,z_20,wx_0,wy_0,wz_0,wx_1,wy_1,wz_1,wx_2,wy_2,wz_2,wx_3,wy_3,wz_3,wx_4,wy_4,wz_4,wx_5,wy_5,wz_5,wx_6,wy_6,wz_6,wx_7,wy_7,wz_7,wx_8,wy_8,wz_8,wx_9,wy_9,wz_9,wx_10,wy_10,wz_10,wx_11,wy_11,wz_11,wx_12,wy_12,wz_12,wx_13,wy_13,wz_13,wx_14,wy_14,wz_14,wx_15,wy_15,wz_15,wx_16,wy_16,wz_16,wx_17,wy_17,wz_17,wx_18,wy_18,wz_18,wx_19,wy_19,wz_19,wx_20,wy_20,wz_20,frame_rate,frame_width,frame_height
0,0.4267113506793976,0.7082533240318298,2.6518901563576947e-07,0.3777173161506653,0.6481107473373413,-0.004455593414604664,0.3574311137199402,0.5759409666061401,-0.010235202498733997,0.36074697971343994,0.5031721591949463,-0.01512832846492529,0.3760841488838196,0.4551396071910858,-0.019278712570667267,0.3990488648414612,0.5344533920288086,-0.014697801321744919,0.41533318161964417,0.44563472270965576,-0.023227369412779808,0.4264000952243805,0.39882898330688477,-0.02668934315443039,0.4368916451931,0.3641931712627411,-0.027725959196686745,0.4383159875869751,0.5419531464576721,-0.017756842076778412,0.45057958364486694,0.4445262551307678,-0.022199150174856186,0.4585344195365906,0.39094308018684387,-0.02370155230164528,0.46542441844940186,0.3518493175506592,-0.024466125294566154,0.472542405128479,0.556726336479187,-0.020576102659106255,0.4818689227104187,0.4652267396450043,-0.024804003536701202,0.4877071976661682,0.41509562730789185,-0.025745181366801262,0.49142545461654663,0.3792622983455658,-0.026165008544921875,0.5012280941009521,0.5762414932250977,-0.02336799167096615,0.510374903678894,0.5084367990493774,-0.025783073157072067,0.5145500302314758,0.46946460008621216,-0.02383226715028286,0.5171451568603516,0.43798762559890747,-0.021355900913476944,-0.01132541336119175,0.0729469284415245,0.0639142319560051,-0.033969998359680176,0.042331159114837646,0.04721088334918022,-0.0403524748980999,0.014354230836033821,0.03416808694601059,-0.04054669290781021,-0.013992073014378548,0.011697948910295963,-0.031476978212594986,-0.037744320929050446,-0.009718283079564571,-0.02683989889919758,-0.004985272418707609,-0.005054809153079987,-0.01545247994363308,-0.032076239585876465,-0.005964253563433886,-0.009075266309082508,-0.051743317395448685,0.010831501334905624,-0.005998552311211824,-0.06501440703868866,0.032315660268068314,-0.00443060789257288,-0.0009575158474035561,-0.004031666554510593,0.003967219963669777,-0.03646767511963844,-0.0012154491851106286,0.0057455007918179035,-0.0571020133793354,0.014443238265812397,0.006854136474430561,-0.07853043079376221,0.03944619745016098,0.016173547133803368,0.002286854200065136,0.0029450992587953806,0.021828144788742065,-0.027856234461069107,0.005798824597150087,0.02435002475976944,-0.0480242595076561,0.020111003890633583,0.023799655959010124,-0.06466799974441528,0.040847185999155045,0.027650920674204826,0.011451815254986286,0.017541058361530304,0.033511288464069366,-0.009411756880581379,0.01969614438712597,0.03815925121307373,-0.025894692167639732,0.02830984629690647,0.03590698167681694,-0.03933132812380791,0.03654175624251366,30.0,640.0,480.0
1,0.4259366989135742,0.7091789841651917,2.591332872725616e-07,0.3771854639053345,0.6483985185623169,-0.004208734724670649,0.3581724166870117,0.5758700370788574,-0.009734051302075386,0.36146390438079834,0.5039708018302917,-0.014537294395267963,0.37445759773254395,0.4545031785964966,-0.018507663160562515,0.39835166931152344,0.5336720943450928,-0.0132387550547719,0.4146863520145416,0.44516223669052124,-0.0215801689773798,0.42599326372146606,0.398746132850647,-0.02500033937394619,0.4367203712463379,0.3645464777946472,-0.025952352210879326,0.43751123547554016,0.5413245558738708,-0.016388440504670143,0.45006757974624634,0.44458773732185364,-0.0204924363642931,0.4585653245449066,0.39152926206588745,-0.022096633911132812,0.46618273854255676,0.35274267196655273,-0.022959787398576736,0.4717569053173065,0.5564550757408142,-0.019397616386413574,0.4814779460430145,0.4650591015815735,-0.023257583379745483,0.48779675364494324,0.41503047943115234,-0.02433769777417183,0.49207448959350586,0.37923550605773926,-0.024926848709583282,0.5005618333816528,0.5761622786521912,-0.022394271567463875,0.5101718902587891,0.5088080167770386,-0.024432610720396042,0.5147713422775269,0.46964478492736816,-0.022501850500702858,0.5179539322853088,0.4378669261932373,-0.02009851299226284,-0.011614324524998665,0.07292161136865616,0.06395997107028961,-0.03359348326921463,0.04184647649526596,0.04747931659221649,-0.03892245143651962,0.014367897063493729,0.034391097724437714,-0.039092179387807846,-0.01353798620402813,0.012192499823868275,-0.031570758670568466,-0.037526924163103104,-0.009355618618428707,-0.026084594428539276,-0.004685521125793457,-0.0048810504376888275,-0.015030021779239178,-0.0314951129257679,-0.005393370054662228,-0.008843222633004189,-0.0512348897755146,0.01111823134124279,-0.005475715734064579,-0.0643368512392044,0.03320968523621559,-0.004437251947820187,-0.001013410510495305,-0.004097059369087219,0.004327220842242241,-0.03575114905834198,-0.0012015243992209435,0.00649031437933445,-0.05616983026266098,0.014619751833379269,0.007889963686466217,-0.07728273421525955,0.039578139781951904,0.015878718346357346,0.0020969309844076633,0.002880360232666135,0.02198782190680504,-0.027361979708075523,0.005833819508552551,0.024814950302243233,-0.047731075435876846,0.02024301327764988,0.02466881275177002,-0.06434447318315506,0.0404387041926384,0.02726338617503643,0.01121715921908617,0.017333995550870895,0.03325673192739487,-0.009337179362773895,0.01933659426867962,0.03865963965654373,-0.025503208860754967,0.027791451662778854,0.03685244545340538,-0.03928523510694504,0.03542124480009079,30.0,640.0,480.0
2,0.42727023363113403,0.7079827189445496,2.587422045507992e-07,0.3771441876888275,0.6470944881439209,-0.004636062309145927,0.3576735556125641,0.5754076838493347,-0.010278324596583843,0.36045968532562256,0.5039854645729065,-0.015084437094628811,0.37355396151542664,0.45487266778945923,-0.01903732679784298,0.39769887924194336,0.5331833958625793,-0.013623878359794617,0.41409459710121155,0.4444224238395691,-0.02195461466908455,0.4254201054573059,0.39799076318740845,-0.025293748825788498,0.43615391850471497,0.3638363480567932,-0.02612248994410038,0.43743211030960083,0.5405362844467163,-0.01647784374654293,0.44979172945022583,0.44400209188461304,-0.020548822358250618,0.45825859904289246,0.39167842268943787,-0.021794239059090614,0.4658031761646271,0.35388123989105225,-0.022305257618427277,0.47218677401542664,0.5552125573158264,-0.019225746393203735,0.4810611307621002,0.46359264850616455,-0.02301635779440403,0.48700782656669617,0.4140656590461731,-0.023440057411789894,0.4911082983016968,0.37909919023513794,-0.023446813225746155,0.5013606548309326,0.5742842555046082,-0.02201184816658497,0.5092979669570923,0.505831241607666,-0.02361743524670601,0.5134828686714172,0.46730127930641174,-0.020831575617194176,0.5165524482727051,0.4369535446166992,-0.01773405633866787,-0.01161210983991623,0.07349412143230438,0.06443941593170166,-0.033576954156160355,0.04255744442343712,0.0478602834045887,-0.03909998759627342,0.0152581837028265,0.034036967903375626,-0.039346497505903244,-0.013042358681559563,0.011829732917249203,-0.03220932185649872,-0.0370456762611866,-0.009957140311598778,-0.026455091312527657,-0.00432549137622118,-0.005348220467567444,-0.015445515513420105,-0.03176715224981308,-0.005887010600417852,-0.008975233882665634,-0.05171046778559685,0.010674511082470417,-0.005552484653890133,-0.06485360115766525,0.03330589830875397,-0.00455402722582221,-0.0010744448518380523,-0.004401318728923798,0.004538960754871368,-0.036026399582624435,-0.0012122425250709057,0.006422993261367083,-0.05638677999377251,0.01529666967689991,0.007855774834752083,-0.07714056968688965,0.040473680943250656,0.016151556745171547,0.0016889921389520168,0.0031116376630961895,0.021921299397945404,-0.027844827622175217,0.006731986999511719,0.024760447442531586,-0.048087552189826965,0.02162065915763378,0.02424657717347145,-0.06457236409187317,0.041454315185546875,0.027766019105911255,0.011083794757723808,0.018456242978572845,0.03351064771413803,-0.010183906182646751,0.020583998411893845,0.03817916288971901,-0.026294562965631485,0.029755471274256706,0.03675304725766182,-0.03986532986164093,0.037488989531993866,30.0,640.0,480.0
3,0.4273854196071625,0.70696622133255,2.584319531706569e-07,0.37648600339889526,0.6467549800872803,-0.0037855072878301144,0.3570961356163025,0.5752723217010498,-0.009122228249907494,0.3608512878417969,0.5035179257392883,-0.013514808379113674,0.3742062747478485,0.4550788700580597,-0.01710020937025547,0.3973410725593567,0.5331640243530273,-0.014532232657074928,0.41372379660606384,0.44424551725387573,-0.022464560344815254,0.424821138381958,0.3985295593738556,-0.025181399658322334,0.4352552592754364,0.3649773597717285,-0.025556309148669243,0.4371333122253418,0.5405594706535339,-0.01745995692908764,0.4492710530757904,0.4434964954853058,-0.021400591358542442,0.4571705460548401,0.3910716772079468,-0.022024059668183327,0.46417295932769775,0.35297951102256775,-0.02207309380173683,0.4716837704181671,0.5553334951400757,-0.02003992721438408,0.4805876612663269,0.46404901146888733,-0.02357146143913269,0.48653435707092285,0.4148615300655365,-0.023578191176056862,0.4906352758407593,0.3799390196800232,-0.023331619799137115,0.5005811452865601,0.5746108889579773,-0.022536925971508026,0.5090002417564392,0.506700873374939,-0.02394232712686062,0.5131617188453674,0.46782758831977844,-0.02105318382382393,0.516186535358429,0.4364835321903229,-0.017917299643158913,-0.010304643772542477,0.07174961268901825,0.06490647792816162,-0.032226383686065674,0.041452351957559586,0.047415316104888916,-0.03784807771444321,0.01463283784687519,0.034171879291534424,-0.03757045045495033,-0.012485947459936142,0.012371102347970009,-0.029893476516008377,-0.0361112579703331,-0.009805796667933464,-0.025472775101661682,-0.004354696720838547,-0.005743592511862516,-0.014839086681604385,-0.03001978062093258,-0.006454129703342915,-0.008839333429932594,-0.04962140694260597,0.01067628525197506,-0.005829425062984228,-0.06266403943300247,0.03273514285683632,-0.004525355063378811,-0.0007736373227089643,-0.004220835864543915,0.0036533474922180176,-0.034339580684900284,-0.0011644982732832432,0.00597197562456131,-0.055004991590976715,0.014687599614262581,0.006935949437320232,-0.07637640088796616,0.040226373821496964,0.015367379412055016,0.0018084946786984801,0.0035019584465771914,0.020979074761271477,-0.026686126366257668,0.006639938801527023,0.02409174107015133,-0.04697953537106514,0.02076762542128563,0.02371891401708126,-0.06329219788312912,0.04134765639901161,0.026374880224466324,0.01047305017709732,0.018838442862033844,0.03200475871562958,-0.009215585887432098,0.02078193798661232,0.037458330392837524,-0.02534109726548195,0.029109269380569458,0.03587406128644943,-0.03909808024764061,0.03665808588266373,30.0,640.0,480.0
4,0.42722880840301514,0.7065598368644714,2.5649751478340477e-07,0.37679004669189453,0.6463494896888733,-0.0030930109787732363,0.3563345670700073,0.5751507878303528,-0.008092456497251987,0.3602248430252075,0.5028612613677979,-0.01226145401597023,0.37424740195274353,0.45493727922439575,-0.015662958845496178,0.397043913602829,0.5337585210800171,-0.013724071905016899,0.41328370571136475,0.44445154070854187,-0.021306833252310753,0.42424440383911133,0.39862552285194397,-0.023762278258800507,0.43458685278892517,0.36497870087623596,-0.02395283430814743,0.4364801347255707,0.5409305095672607,-0.016897421330213547,0.44896700978279114,0.4434235692024231,-0.020645180717110634,0.45689842104911804,0.39116114377975464,-0.021101877093315125,0.4639730155467987,0.3534557819366455,-0.02096044458448887,0.4708731472492218,0.555393397808075,-0.019671058282256126,0.4804602265357971,0.4636813700199127,-0.023100530728697777,0.48639631271362305,0.4146052896976471,-0.023119034245610237,0.49041637778282166,0.3801875710487366,-0.02281275764107704,0.4998348355293274,0.5746693015098572,-0.022284293547272682,0.5087408423423767,0.506066083908081,-0.023561229929327965,0.5130161643028259,0.4673064649105072,-0.020608970895409584,0.5159578919410706,0.43636736273765564,-0.0174179058521986,-0.010458007454872131,0.0719713345170021,0.06521870940923691,-0.03258616849780083,0.041669171303510666,0.04808196797966957,-0.03876166418194771,0.014382680878043175,0.03455466777086258,-0.038427285850048065,-0.013146685436367989,0.012829996645450592,-0.030410584062337875,-0.0365871824324131,-0.009516443125903606,-0.025710079818964005,-0.004559896886348724,-0.005646341014653444,-0.01512835267931223,-0.031011439859867096,-0.006643282249569893,-0.009212909266352654,-0.050378408282995224,0.010617000050842762,-0.005961360409855843,-0.06348548084497452,0.03289240226149559,-0.004628902766853571,-0.0009370094048790634,-0.0042798640206456184,0.003892309032380581,-0.03515145182609558,-0.0014960009139031172,0.00608134176582098,-0.055881477892398834,0.014594091102480888,0.006647839210927486,-0.07681728899478912,0.039717212319374084,0.01570219360291958,0.00199213158339262,0.0034476658329367638,0.02142738550901413,-0.02745680697262287,0.006761808414012194,0.024247970432043076,-0.04789717122912407,0.020964903756976128,0.023694617673754692,-0.06414350122213364,0.04153956100344658,0.02703915536403656,0.01061677560210228,0.01901715248823166,0.03258652985095978,-0.009600963443517685,0.021047862246632576,0.03800596296787262,-0.025794025510549545,0.02999233640730381,0.03624458983540535,-0.039536070078611374,0.038062117993831635,30.0,640.0,480.0
5,0.424833744764328,0.7059817314147949,2.5835652195382863e-07,0.3748129606246948,0.6471900939941406,-0.0025504697114229202,0.3543451428413391,0.5754120945930481,-0.007257780991494656,0.35840433835983276,0.5027183890342712,-0.011146710254251957,0.372295081615448,0.4548356533050537,-0.01434924453496933,0.39471226930618286,0.5323178768157959,-0.01349475234746933,0.41160789132118225,0.44293543696403503,-0.020582612603902817,0.4229543209075928,0.3976436257362366,-0.02262553758919239,0.4333701431751251,0.36452287435531616,-0.02251301519572735,0.4339490234851837,0.5401210784912109,-0.016699688509106636,0.44705358147621155,0.4418488144874573,-0.020172715187072754,0.45521023869514465,0.3904241919517517,-0.020169030874967575,0.46209773421287537,0.353791207075119,-0.019626829773187637,0.4682498574256897,0.5550752878189087,-0.019411079585552216,0.4783942997455597,0.4616284966468811,-0.022782811895012856,0.48431092500686646,0.4132842719554901,-0.022403541952371597,0.48794350028038025,0.37986475229263306,-0.021668627858161926,0.4971037209033966,0.57486492395401,-0.021845636889338493,0.5064916610717773,0.5035799145698547,-0.022833621129393578,0.5112013816833496,0.46553856134414673,-0.01934514380991459,0.5141459703445435,0.43586432933807373,-0.01571229286491871,-0.011761300265789032,0.07361143082380295,0.06404435634613037,-0.03374086320400238,0.042900871485471725,0.04799249395728111,-0.03988827392458916,0.015482866205275059,0.03470173478126526,-0.03956545144319534,-0.013469520956277847,0.013505962677299976,-0.03144596517086029,-0.036874230951070786,-0.008609559386968613,-0.02622377686202526,-0.005042877048254013,-0.004869731608778238,-0.01501165609806776,-0.032928816974163055,-0.005986109375953674,-0.00877732876688242,-0.05206933617591858,0.010982997715473175,-0.005573471542447805,-0.06499839574098587,0.03324257582426071,-0.004554882645606995,-0.0010305324103683233,-0.004273411352187395,0.004346168600022793,-0.03691300377249718,-0.0014028004370629787,0.00647257873788476,-0.05781950056552887,0.015230154618620872,0.0066819386556744576,-0.07800453156232834,0.04011959210038185,0.015946686267852783,0.0021705259568989277,0.0028669587336480618,0.022063512355089188,-0.028795314952731133,0.00629726005718112,0.024375442415475845,-0.04931347072124481,0.020962493494153023,0.0236754659563303,-0.0646333247423172,0.04146191477775574,0.02748066373169422,0.011783608235418797,0.018133504316210747,0.033625729382038116,-0.01023890357464552,0.020054949447512627,0.03840135037899017,-0.026901543140411377,0.029382994398474693,0.03668760880827904,-0.039632417261600494,0.03870735689997673,30.0,640.0,480.0
6,0.4236563444137573,0.7063573598861694,2.51626659064641e-07,0.3739307224750519,0.647721529006958,-0.001609099330380559,0.35319939255714417,0.5763495564460754,-0.0058046611957252026,0.3577437698841095,0.5044814348220825,-0.009350170381367207,0.37214064598083496,0.4584066867828369,-0.012278852052986622,0.3936123847961426,0.5317270755767822,-0.013306739740073681,0.4096894860267639,0.44260889291763306,-0.02039419114589691,0.4209844172000885,0.3977043628692627,-0.022544804960489273,0.4315177798271179,0.36491072177886963,-0.022551918402314186,0.43214714527130127,0.5394693613052368,-0.017033129930496216,0.4453306496143341,0.4419204592704773,-0.02070985920727253,0.45388489961624146,0.3904036283493042,-0.02091795951128006,0.46123287081718445,0.35303398966789246,-0.020542597398161888,0.46618813276290894,0.5547782778739929,-0.02017042599618435,0.47707104682922363,0.46275949478149414,-0.023771295323967934,0.4837963879108429,0.4140799045562744,-0.023898571729660034,0.4879636764526367,0.38021278381347656,-0.023508302867412567,0.4949929416179657,0.5751396417617798,-0.02294391393661499,0.5056935548782349,0.504882276058197,-0.023959605023264885,0.5109138488769531,0.4668050706386566,-0.020646564662456512,0.5141847133636475,0.4370930790901184,-0.017194081097841263,-0.011428147554397583,0.07391435652971268,0.06355765461921692,-0.03345617651939392,0.04362271726131439,0.04840601608157158,-0.03982897475361824,0.015729833394289017,0.035434920340776443,-0.03924247995018959,-0.013305875472724438,0.014960031025111675,-0.030827559530735016,-0.035335518419742584,-0.006311248987913132,-0.02634803019464016,-0.005374496802687645,-0.004878798965364695,-0.015577987767755985,-0.03304171562194824,-0.005992029327899218,-0.00932653434574604,-0.051814332604408264,0.010410833172500134,-0.005904274992644787,-0.06465839594602585,0.03221554309129715,-0.004619993735104799,-0.0011477796360850334,-0.004084981046617031,0.004241578280925751,-0.037048518657684326,-0.0016084006056189537,0.006659414619207382,-0.05770931765437126,0.01500424649566412,0.006595076993107796,-0.07792017608880997,0.03894198685884476,0.01621391624212265,0.002330851275473833,0.0028862846083939075,0.022450197488069534,-0.02844669111073017,0.005975672509521246,0.02497543767094612,-0.04907209053635597,0.02093287743628025,0.024305300787091255,-0.06426599621772766,0.040311090648174286,0.027659226208925247,0.012429832480847836,0.017796112224459648,0.034402575343847275,-0.009856835938990116,0.020289311185479164,0.03942931070923805,-0.02640857920050621,0.029480494558811188,0.03743818774819374,-0.03914866968989372,0.038001541048288345,30.0,640.0,480.0
7,0.42321228981018066,0.7062764763832092,2.570002948232286e-07,0.3733252286911011,0.6468614935874939,-0.0023936594370752573,0.3525150716304779,0.5746521949768066,-0.007191713899374008,0.3575540781021118,0.5017120838165283,-0.011283675208687782,0.37326109409332275,0.4559628367424011,-0.014835083857178688,0.39247608184814453,0.5339205861091614,-0.014717831276357174,0.4086514413356781,0.4439472258090973,-0.022544406354427338,0.4201621115207672,0.39858055114746094,-0.025228561833500862,0.43087759613990784,0.3655419945716858,-0.025616109371185303,0.43156659603118896,0.5416085720062256,-0.018395617604255676,0.4447670578956604,0.442714124917984,-0.02236347645521164,0.4531565308570862,0.3905714154243469,-0.02303692139685154,0.4601767063140869,0.35301679372787476,-0.023176927119493484,0.46598494052886963,0.5563578605651855,-0.021483086049556732,0.4766899645328522,0.46300724148750305,-0.025254465639591217,0.4830235540866852,0.4136534631252289,-0.025583233684301376,0.4868590831756592,0.37955015897750854,-0.025568371638655663,0.49485087394714355,0.5757826566696167,-0.024287955835461617,0.5050923228263855,0.5053325891494751,-0.026010217145085335,0.5102143883705139,0.46655213832855225,-0.023219561204314232,0.5135705471038818,0.4360426068305969,-0.02020278386771679,-0.010582399554550648,0.07129425555467606,0.06491512060165405,-0.032047342509031296,0.041169341653585434,0.0488663874566555,-0.03821784630417824,0.014026980847120285,0.03565504774451256,-0.03736463934183121,-0.013990364037454128,0.014001031406223774,-0.028614608570933342,-0.035757437348365784,-0.0074128140695393085,-0.02568502351641655,-0.004995179362595081,-0.005005727522075176,-0.015139041468501091,-0.031290002167224884,-0.00592087022960186,-0.008983587846159935,-0.05035826563835144,0.01107493694871664,-0.005439021158963442,-0.06302352249622345,0.032962165772914886,-0.004588481038808823,-0.0009469648357480764,-0.004239812958985567,0.00400550477206707,-0.03538664057850838,-0.001553826848976314,0.006366042420268059,-0.05613406375050545,0.014734183438122272,0.006707877852022648,-0.07655186951160431,0.03930935263633728,0.015697283670306206,0.0020469604060053825,0.0029455607291311026,0.021732082590460777,-0.027526093646883965,0.006082857958972454,0.02446964755654335,-0.04810120165348053,0.02039903588593006,0.023825891315937042,-0.06360552459955215,0.039882298558950424,0.02693360112607479,0.011271383613348007,0.01814408041536808,0.03322560712695122,-0.009632010012865067,0.020334240049123764,0.03871411085128784,-0.02604295313358307,0.029035281389951706,0.037002503871917725,-0.03902944177389145,0.03736044839024544,30.0,640.0,480.0
8,0.4234907329082489,0.7057404518127441,2.6238907935294264e-07,0.3736266791820526,0.6469919681549072,-0.0028675696812570095,0.3525539040565491,0.5757265090942383,-0.00792358536273241,0.35692670941352844,0.5028615593910217,-0.012214558199048042,0.3724583387374878,0.45666003227233887,-0.015885118395090103,0.39298200607299805,0.5341187715530396,-0.014763490296900272,0.40882232785224915,0.44428402185440063,-0.022721456363797188,0.4199513792991638,0.3985229432582855,-0.025506725534796715,0.4303826093673706,0.3651156425476074,-0.02598600462079048,0.4314214885234833,0.5414908528327942,-0.01826642081141472,0.4442693889141083,0.4429521858692169,-0.02249787747859955,0.452424556016922,0.3905302882194519,-0.023373616859316826,0.4594498574733734,0.35273516178131104,-0.023637913167476654,0.4654013216495514,0.556178092956543,-0.021256547421216965,0.47628751397132874,0.4629817605018616,-0.025265535339713097,0.48267045617103577,0.4139917492866516,-0.025845561176538467,0.4866628646850586,0.37997695803642273,-0.025976315140724182,0.4940338134765625,0.5756869316101074,-0.02400883100926876,0.5047565698623657,0.5058968663215637,-0.026087304577231407,0.5101356506347656,0.46704453229904175,-0.02375681698322296,0.5138286352157593,0.43598270416259766,-0.021025599911808968,-0.009710738435387611,0.07061847299337387,0.0652579814195633,-0.03119846247136593,0.04062230885028839,0.048645857721567154,-0.03739224746823311,0.013894028961658478,0.03550867363810539,-0.03662598505616188,-0.013370406813919544,0.013580886647105217,-0.028001077473163605,-0.03517590090632439,-0.007838214747607708,-0.025002049282193184,-0.004555811639875174,-0.005030902102589607,-0.01455728244036436,-0.030400320887565613,-0.005952456034719944,-0.009037356823682785,-0.04982234165072441,0.010630734264850616,-0.00553343677893281,-0.06256365031003952,0.03255336731672287,-0.004502196796238422,-0.0008443610859103501,-0.004275503568351269,0.003758152713999152,-0.03444671258330345,-0.0016104140086099505,0.006035086698830128,-0.05545734986662865,0.014349705539643764,0.00632399320602417,-0.07615332305431366,0.038834284991025925,0.015243158675730228,0.00201970711350441,0.0029914393089711666,0.021092217415571213,-0.02698984369635582,0.005735927727073431,0.02446526288986206,-0.04743008315563202,0.02007259987294674,0.023729320615530014,-0.06304633617401123,0.03967783600091934,0.025951972231268883,0.01081936527043581,0.0180109404027462,0.03249470144510269,-0.00950525514781475,0.019955674186348915,0.038297634571790695,-0.02567669190466404,0.0283976998180151,0.0368138924241066,-0.039035614579916,0.036539286375045776,30.0,640.0,480.0
9,0.4228106439113617,0.7054833173751831,2.676746646557149e-07,0.3735488951206207,0.6467911005020142,-0.0035116183571517467,0.35235342383384705,0.5762973427772522,-0.008909529075026512,0.35605019330978394,0.5040209293365479,-0.01347379107028246,0.3715601861476898,0.4570421874523163,-0.01745150238275528,0.3928993046283722,0.5337138772010803,-0.014954499900341034,0.4084641933441162,0.44404128193855286,-0.02318502776324749,0.4196833372116089,0.39817309379577637,-0.02629241719841957,0.4302779734134674,0.3644218146800995,-0.02702326327562332,0.43104127049446106,0.5413859486579895,-0.018292216584086418,0.44375374913215637,0.44382768869400024,-0.022702854126691818,0.4519657790660858,0.3915426731109619,-0.023912452161312103,0.4590272903442383,0.3534460663795471,-0.024474872276186943,0.46482589840888977,0.5566315054893494,-0.02124118246138096,0.4755747318267822,0.4639965295791626,-0.025598887354135513,0.4821705222129822,0.41467440128326416,-0.026555681601166725,0.48657023906707764,0.3798956274986267,-0.02695125713944435,0.49337634444236755,0.57646644115448,-0.02399883233010769,0.5039074420928955,0.5065988898277283,-0.026517245918512344,0.5092836618423462,0.4676213562488556,-0.024483561515808105,0.5131669640541077,0.43618839979171753,-0.02196715958416462,-0.009652478620409966,0.07049884647130966,0.06403970718383789,-0.03109879605472088,0.04075399413704872,0.047876741737127304,-0.03748961538076401,0.01393210981041193,0.035351164638996124,-0.03715657815337181,-0.01344260759651661,0.014204593375325203,-0.028651069849729538,-0.035537611693143845,-0.006815307307988405,-0.02496364153921604,-0.004949730355292559,-0.004824641160666943,-0.014478105120360851,-0.03076745755970478,-0.005859551951289177,-0.008680548518896103,-0.050122570246458054,0.010401721112430096,-0.005216069519519806,-0.06317678838968277,0.031654514372348785,-0.0045267799869179726,-0.0009074480039998889,-0.004074885044246912,0.0037956140004098415,-0.034593962132930756,-0.0013955009635537863,0.0061987219378352165,-0.055751677602529526,0.01417214423418045,0.006424854509532452,-0.0766678899526596,0.03799154609441757,0.015095626935362816,0.0022797854617238045,0.002809330588206649,0.021156085655093193,-0.026874735951423645,0.005331842228770256,0.024543888866901398,-0.047617457807064056,0.019329527392983437,0.024063479155302048,-0.06354967504739761,0.038697823882102966,0.02587447687983513,0.011416329070925713,0.017584897577762604,0.03256348520517349,-0.009296623058617115,0.019243689253926277,0.03813670575618744,-0.025685593485832214,0.02744721807539463,0.03678067401051521,-0.039277005940675735,0.03559223562479019,30.0,640.0,480.0
