frame,x_0,y_0,z_0,x_1,y_1,z_1,x_2,y_2,z_2,x_3,y_3,z_3,x_4,y_4,z_4,x_5,y_5,z_5,x_6,y_6,z_6,x_7,y_7,z_7,x_8,y_8,z_8,x_9,y_9,z_9,x_10,y_10,z_10,x_11,y_11,z_11,x_12,y_12,z_12,x_13,y_13,z_13,x_14,y_14,z_14,x_15,y_15,z_15,x_16,y_16,z_16,x_17,y_17,z_17,x_18,y_18,z_18,x_19,y_19,z_19,x_20,y_20,z_20,frame_rate,frame_width,frame_height
0,0.005133979022502899,0.743998646736145,7.697844353060646e-07,0.07554413378238678,0.695286750793457,-0.022190311923623085,0.14152555167675018,0.608856201171875,-0.028844153508543968,0.18571123480796814,0.5465494394302368,-0.034756843000650406,0.22769521176815033,0.5095736980438232,-0.04022669419646263,0.08219020813703537,0.5393732786178589,-0.002068342873826623,0.13008999824523926,0.49655473232269287,-0.027908967807888985,0.18458157777786255,0.48755231499671936,-0.053025320172309875,0.2293148636817932,0.49079442024230957,-0.06814047694206238,0.05488857254385948,0.5420305132865906,-0.0013785004848614335,0.10774152725934982,0.4981437921524048,-0.021023042500019073,0.16322699189186096,0.4835968017578125,-0.03979902341961861,0.21473023295402527,0.4811475872993469,-0.05256792530417442,0.0336281955242157,0.5562512874603271,-0.005799995735287666,0.08785946667194366,0.5113497376441956,-0.024516794830560684,0.1427714228630066,0.49143368005752563,-0.03258729726076126,0.19122174382209778,0.4862687289714813,-0.03577238693833351,0.015506602823734283,0.5790590643882751,-0.013085536658763885,0.0633474737405777,0.5382311344146729,-0.024164360016584396,0.10811769962310791,0.5162325501441956,-0.02442162297666073,0.14693281054496765,0.505176842212677,-0.023292293772101402,30.0,640.0,480.0
1,0.0024551227688789368,0.7444992065429688,7.482328214791778e-07,0.07158074527978897,0.7034299373626709,-0.028045957908034325,0.13374340534210205,0.6146947145462036,-0.0376080684363842,0.17961740493774414,0.5504007935523987,-0.044093675911426544,0.2218925654888153,0.5077987909317017,-0.04952779412269592,0.06861039996147156,0.5427958965301514,-0.015548935160040855,0.12415557354688644,0.49279719591140747,-0.03963800519704819,0.1779891550540924,0.48779088258743286,-0.062008172273635864,0.22378796339035034,0.49809542298316956,-0.07546254247426987,0.04180431365966797,0.5379930734634399,-0.008907916024327278,0.10359261929988861,0.49135822057724,-0.030364127829670906,0.16028816998004913,0.48134392499923706,-0.04814052954316139,0.2142186313867569,0.4846319556236267,-0.0596899650990963,0.02329738438129425,0.5428445339202881,-0.006384123116731644,0.08737701177597046,0.4944463074207306,-0.025860000401735306,0.14153830707073212,0.4788074195384979,-0.03592691943049431,0.19105659425258636,0.4811539053916931,-0.04034540057182312,0.009930334985256195,0.5555785894393921,-0.006853991188108921,0.06433785706758499,0.5070546269416809,-0.020941345021128654,0.11163903772830963,0.4871635437011719,-0.025294503197073936,0.15535981953144073,0.4822763502597809,-0.025894224643707275,30.0,640.0,480.0
2,0.029029380530118942,0.7409319877624512,8.202664503187407e-07,0.09190228581428528,0.7106373310089111,-0.029431769624352455,0.1538749486207962,0.6163373589515686,-0.04096894711256027,0.20127511024475098,0.5518627762794495,-0.051377177238464355,0.24365849792957306,0.5096212029457092,-0.061287421733140945,0.10246152430772781,0.5265967845916748,-0.01583041623234749,0.15669533610343933,0.4797925651073456,-0.048363544046878815,0.209938645362854,0.47826188802719116,-0.07579470425844193,0.25833573937416077,0.4938838481903076,-0.09208682179450989,0.06808298826217651,0.5162367820739746,-0.015104745514690876,0.13372309505939484,0.461709201335907,-0.05011778324842453,0.19541189074516296,0.462979257106781,-0.07484330236911774,0.2548222243785858,0.48366448283195496,-0.0873892530798912,0.03604819253087044,0.520415723323822,-0.019757293164730072,0.1052921786904335,0.4667282700538635,-0.054456666111946106,0.1692279577255249,0.46228837966918945,-0.07224570214748383,0.22908322513103485,0.474948525428772,-0.07877486199140549,0.005562283098697662,0.5393617749214172,-0.02704695612192154,0.06921201944351196,0.4991719126701355,-0.055928733199834824,0.12351035326719284,0.4851796329021454,-0.06835789978504181,0.17627623677253723,0.4837465286254883,-0.07268967479467392,30.0,640.0,480.0
3,0.02711568772792816,0.7462400794029236,6.828589107499283e-07,0.09054737538099289,0.7112480998039246,-0.020906101912260056,0.14997000992298126,0.6158092617988586,-0.030567293986678123,0.19786077737808228,0.5534999966621399,-0.04132554680109024,0.24281856417655945,0.516819179058075,-0.051878221333026886,0.09799826890230179,0.5147980451583862,-0.008960835635662079,0.15270189940929413,0.47037267684936523,-0.04336673393845558,0.207455575466156,0.4753696322441101,-0.07226741313934326,0.25802886486053467,0.4947803318500519,-0.09023034572601318,0.06431946903467178,0.50641930103302,-0.014523956924676895,0.13441969454288483,0.4480316638946533,-0.05565421283245087,0.19813939929008484,0.46365824341773987,-0.08242162317037582,0.2567601203918457,0.49421775341033936,-0.09448983520269394,0.032729752361774445,0.5139619708061218,-0.024933738633990288,0.10774719715118408,0.46358877420425415,-0.06440924108028412,0.1711830049753189,0.4729306399822235,-0.08146828413009644,0.2281356304883957,0.49333351850509644,-0.08595011383295059,0.0028892531991004944,0.537723958492279,-0.037423115223646164,0.07145842164754868,0.5028043985366821,-0.06992547959089279,0.1253061145544052,0.4925963878631592,-0.0832856148481369,0.17665572464466095,0.4904665946960449,-0.0876895934343338,30.0,640.0,480.0
4,0.03779209405183792,0.7603254914283752,6.078452656765876e-07,0.1036810427904129,0.7184178829193115,-0.01697956956923008,0.15869726240634918,0.6230508089065552,-0.026847440749406815,0.207258939743042,0.5600988864898682,-0.04041469842195511,0.25390705466270447,0.522673487663269,-0.05407477542757988,0.11066363751888275,0.5213001370429993,-0.002084241947159171,0.16495493054389954,0.4726150631904602,-0.036184024065732956,0.22035017609596252,0.48161232471466064,-0.06514143943786621,0.2692580819129944,0.5013430118560791,-0.0841384083032608,0.07808997482061386,0.5096879005432129,-0.011642880737781525,0.15363526344299316,0.4511619210243225,-0.05278550088405609,0.21776558458805084,0.46918362379074097,-0.08072272688150406,0.2716994285583496,0.500960648059845,-0.09471455961465836,0.04314728081226349,0.5116695165634155,-0.026579272001981735,0.12408076971769333,0.4554736316204071,-0.06776677817106247,0.19108650088310242,0.4717615842819214,-0.0868653953075409,0.24832089245319366,0.5003976225852966,-0.09308870881795883,0.007892005145549774,0.5310671329498291,-0.04343515634536743,0.08243336528539658,0.5004871487617493,-0.07984891533851624,0.14002059400081635,0.49985355138778687,-0.09676069021224976,0.1943475306034088,0.5067973732948303,-0.10369516164064407,30.0,640.0,480.0
5,0.03109811246395111,0.7674058675765991,5.926917765464168e-07,0.10245892405509949,0.7205103039741516,-0.01399931125342846,0.16106078028678894,0.6196861863136292,-0.021839438006281853,0.20984019339084625,0.5560755729675293,-0.034211400896310806,0.25733858346939087,0.5191226601600647,-0.0463830828666687,0.10845824331045151,0.5222501158714294,0.0040625324472785,0.16225382685661316,0.47104108333587646,-0.029530785977840424,0.21880391240119934,0.47816744446754456,-0.058153264224529266,0.2685287296772003,0.4962548613548279,-0.07677172124385834,0.07557158917188644,0.5110699534416199,-0.007296431809663773,0.15007075667381287,0.44776833057403564,-0.048931293189525604,0.21535468101501465,0.46516403555870056,-0.07733874022960663,0.27047067880630493,0.49699440598487854,-0.09106513857841492,0.04140734300017357,0.5133193135261536,-0.02404681406915188,0.12292023003101349,0.4551055431365967,-0.06574691087007523,0.19015121459960938,0.47194406390190125,-0.08455997705459595,0.24754509329795837,0.5015261173248291,-0.08994109183549881,0.007511019706726074,0.5324299931526184,-0.04264073818922043,0.08361321687698364,0.49911928176879883,-0.0790882483124733,0.14308252930641174,0.4953821003437042,-0.09594571590423584,0.19960129261016846,0.49904704093933105,-0.10253366827964783,30.0,640.0,480.0
6,0.02470000833272934,0.7723609209060669,5.841864663125307e-07,0.09953358769416809,0.7235413193702698,-0.011980048380792141,0.1583310067653656,0.620978057384491,-0.01892390288412571,0.20946283638477325,0.5567221641540527,-0.03128276765346527,0.2580162584781647,0.5177726149559021,-0.04376457259058952,0.10903387516736984,0.5250768661499023,0.007178180851042271,0.16397406160831451,0.47159498929977417,-0.026418784633278847,0.22082948684692383,0.4791029095649719,-0.05562546104192734,0.27027055621147156,0.4974965453147888,-0.07474551349878311,0.07658860087394714,0.5143030285835266,-0.005666517652571201,0.1511099636554718,0.44809818267822266,-0.0472562275826931,0.21655496954917908,0.4658166766166687,-0.07663701474666595,0.2718256115913391,0.49860021471977234,-0.09114696830511093,0.04183489829301834,0.5163683891296387,-0.02390757016837597,0.12206994742155075,0.4556885063648224,-0.06467344611883163,0.18947750329971313,0.47233885526657104,-0.08388524502515793,0.247051402926445,0.5025202035903931,-0.0899142473936081,0.0070993974804878235,0.5348933935165405,-0.04404136538505554,0.08200723677873611,0.4999001920223236,-0.07926969230175018,0.14173199236392975,0.49805688858032227,-0.09576199948787689,0.19826090335845947,0.5045597553253174,-0.1024930328130722,30.0,640.0,480.0
7,0.022642500698566437,0.7739381194114685,6.131652980911895e-07,0.09997668862342834,0.7237295508384705,-0.013331093825399876,0.1604098230600357,0.6219561100006104,-0.020808599889278412,0.2121381163597107,0.55633145570755,-0.033689551055431366,0.2617914080619812,0.5148054361343384,-0.04642586037516594,0.1109970211982727,0.5254645347595215,0.009855466894805431,0.16713058948516846,0.4713153839111328,-0.022352732717990875,0.22267398238182068,0.479020357131958,-0.05105734243988991,0.27014195919036865,0.4971264600753784,-0.06981517374515533,0.07812748849391937,0.5137904286384583,-0.001865268568508327,0.15262772142887115,0.44770920276641846,-0.04201902449131012,0.2165098488330841,0.4653017520904541,-0.07155514508485794,0.27004289627075195,0.49882930517196655,-0.08610018342733383,0.042925573885440826,0.515382707118988,-0.019139546900987625,0.12337926030158997,0.45290130376815796,-0.05904001742601395,0.1897309422492981,0.4703490734100342,-0.07814133912324905,0.24627716839313507,0.5023343563079834,-0.08392888307571411,0.007758274674415588,0.5333516001701355,-0.038418300449848175,0.08289847522974014,0.498738169670105,-0.0724060907959938,0.14162114262580872,0.4976557493209839,-0.08799303323030472,0.1967589259147644,0.5052694082260132,-0.09392043203115463,30.0,640.0,480.0
8,0.02216460555791855,0.7702794075012207,6.080308025957493e-07,0.0978899747133255,0.7230892777442932,-0.015631314367055893,0.159353569149971,0.6217318177223206,-0.024345122277736664,0.21050623059272766,0.5541912913322449,-0.03788696229457855,0.2575938105583191,0.5086511969566345,-0.05114637315273285,0.11543869972229004,0.5262413620948792,0.004847844131290913,0.1744900345802307,0.46961748600006104,-0.027790570631623268,0.22928543388843536,0.4789182245731354,-0.05640058591961861,0.2756465971469879,0.4977618455886841,-0.07524684816598892,0.08375861495733261,0.5134292244911194,-0.005662932060658932,0.15966211259365082,0.44714707136154175,-0.04723777621984482,0.22319066524505615,0.4669843018054962,-0.07745760679244995,0.27489081025123596,0.5038390159606934,-0.09233224391937256,0.04807932302355766,0.5133705139160156,-0.021556414663791656,0.12786760926246643,0.4460902214050293,-0.0612984299659729,0.19340379536151886,0.4653335213661194,-0.08002931624650955,0.24871504306793213,0.5000360608100891,-0.08598031848669052,0.01083749532699585,0.5297578573226929,-0.039650190621614456,0.08413045853376389,0.4964940547943115,-0.0736100822687149,0.14113590121269226,0.49495789408683777,-0.08964068442583084,0.19452153146266937,0.5025556683540344,-0.09622729569673538,30.0,640.0,480.0
9,0.029209107160568237,0.766781747341156,5.999236236675642e-07,0.104888916015625,0.7151731848716736,-0.015704486519098282,0.1626904010772705,0.6171630024909973,-0.026145892217755318,0.21244272589683533,0.5505200624465942,-0.041220150887966156,0.2616400122642517,0.5081366896629333,-0.056277286261320114,0.1166658028960228,0.5217645168304443,-2.399009099463001e-05,0.17239341139793396,0.46314752101898193,-0.035613879561424255,0.22685563564300537,0.47469282150268555,-0.06598999351263046,0.27299660444259644,0.49620142579078674,-0.08577195554971695,0.0843038260936737,0.512008547782898,-0.010878348723053932,0.1559835821390152,0.4425700604915619,-0.054685696959495544,0.2181643843650818,0.46349120140075684,-0.08542610704898834,0.26836979389190674,0.5003060102462769,-0.10084982216358185,0.04879331588745117,0.5154128074645996,-0.026925448328256607,0.12480824440717697,0.4469521641731262,-0.06777127832174301,0.18808579444885254,0.4648246169090271,-0.08629609644412994,0.24071140587329865,0.49882861971855164,-0.0922199934720993,0.012804925441741943,0.5352429747581482,-0.045155398547649384,0.08134137094020844,0.5000399351119995,-0.07915754616260529,0.1365044265985489,0.4931640625,-0.09561906009912491,0.18806323409080505,0.4959038496017456,-0.10285592824220657,30.0,640.0,480.0
